wsnn_res.1,Annotation_Broad
0,SatelliteGlia
1,Fibroblasts
2,SatelliteGlia
3,Fibroblasts
4,Fibroblasts
5,Fibroblasts
6,Macrophages
7,SchwannCells
8,Fibroblasts
9,Discard
10,Fibroblasts
11,EndothelialCells
12,Discard
13,CLTMRs
14,Discard
15,TRPV1_Peptidergic
16,Macrophages
17,MoMAC
18,NP3_Neurons
19,VascularSmoothMuscle
20,EndothelialCells
21,NP1_2_Neurons
22,ALTMRs
23,TRPM8_ColdReceptors
24,StromalCells
25,CLTMRs
26,Fibroblasts
27,TRPV1_NonPeptidergic
28,SatelliteGlia
29,NP1_2_Neurons
30,VascularSmoothMuscle
31,ALTMRs
32,Adelta_LTMR
33,Discard
